buy_in,multiplier,position,result,cev,adjusted_cev
1.0,3.0,2,-1.0,-300,17.407010000000014
1.0,5.0,1,4.0,600,32.396240000000006
1.0,10.0,2,-1.0,-300,92.81648000000001
1.0,2.0,2,-1.0,-300,-126.83583999999999
1.0,3.0,3,-1.0,-300,-116.37450600000003
1.0,2.0,1,1.0,600,600.0
1.0,2.0,1,1.0,600,-113.73492800000002
1.0,2.0,2,-1.0,-300,-0.15648999999993407
1.0,2.0,1,1.0,600,232.19934
1.0,10.0,3,-1.0,-300,-138.7242
1.0,2.0,2,-1.0,-300,-234.32375999999996
1.0,3.0,3,-1.0,-300,-5.788371999999978
1.0,3.0,1,2.0,600,169.690464
1.0,3.0,3,-1.0,-300,-18.828419999999994
1.0,2.0,3,-1.0,-300,70.23384000000001
1.0,4.0,3,-1.0,-300,-0.2693550000000311
1.0,3.0,3,-1.0,-300,-278.26172
1.0,2.0,3,-1.0,-300,247.03283500000003
1.0,10.0,1,9.0,600,142.522582
1.0,3.0,1,2.0,600,-178.25557999999998
1.0,3.0,1,2.0,600,285.63549
1.0,2.0,3,-1.0,-300,-300.0
1.0,4.0,1,3.0,600,-60.128454999999974
1.0,2.0,1,1.0,600,226.76433000000003
1.0,2.0,3,-1.0,-300,-228.84591
1.0,2.0,1,1.0,600,600.0
1.0,2.0,1,1.0,600,349.12338
1.0,2.0,2,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,-115.11128000000005
1.0,4.0,2,-1.0,-300,58.26202999999998
1.0,3.0,1,2.0,600,65.58373999999995
1.0,2.0,3,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,104.79165
1.0,2.0,2,-1.0,-300,41.36703
1.0,3.0,3,-1.0,-300,-300.0
1.0,4.0,2,-1.0,-300,-139.86443999999997
1.0,3.0,1,2.0,600,362.16957
1.0,2.0,1,1.0,600,159.02500299999997
1.0,2.0,2,-1.0,-300,-12.723689999999976
1.0,2.0,2,-1.0,-300,-300.0
1.0,3.0,1,2.0,600,517.5878
1.0,4.0,2,-1.0,-300,210.71991999999992
1.0,2.0,1,1.0,600,351.73330799999997
1.0,2.0,1,1.0,600,93.72449999999992
1.0,2.0,2,-1.0,-300,11.093639999999994
1.0,3.0,3,-1.0,-300,-160.71800000000002
1.0,2.0,2,-1.0,-300,-338.19352599999996
